Date,Open,High,Low,Close,Adjusted_close,Volume
1/2/2008,108.99,108.99,104.17,104.69,74.3369,9503410
1/3/2008,104.83,105.57,103.98,104.9,74.4862,7529206
1/4/2008,103.95,103.95,100.48,101.13,71.8091,11034849
1/7/2008,100.25,101,99.03,100.05,71.0423,12650525
1/8/2008,100.05,100.38,97.17,97.59,69.2954,9434330
1/9/2008,97.76,99.15,97.16,98.31,69.8069,10922994
1/10/2008,97.39,100.86,97.15,99.92,70.9499,10634722
1/11/2008,99.2,99.46,97.04,97.67,69.3524,8959860
1/14/2008,105.01,105.59,101.33,102.93,73.0873,18009609
1/15/2008,102.03,104.64,101.23,101.83,72.306,11636336
1/16/2008,100.14,102.86,100.14,101.63,72.1641,13031715
1/17/2008,102,103.45,100.05,101.1,71.7874,11649716
1/18/2008,106.72,106.72,102.5,103.4,73.421,23871652
1/22/2008,98.55,103.09,98.55,101.22,71.8733,15133331
1/23/2008,99.63,106.335,98.5,106.1,75.3383,19588039
1/24/2008,106.38,107.51,104.68,106.91,75.9132,13026801
1/25/2008,107.79,107.79,104.1,104.52,74.2162,10102004
1/28/2008,104.44,105.77,103.83,104.98,74.543,7858457
1/29/2008,105.5,106.8,104.6,106.1,75.3383,6616236
1/30/2008,105.85,107.65,104.855,105.65,75.0186,7432496
1/31/2008,104.21,107.97,103.7,107.11,76.0552,9057402
2/1/2008,107.16,109.4,105.86,109.08,77.4542,8047060
2/4/2008,108.67,109,106.4567,107.93,76.6375,5985430
2/5/2008,107.06,108.05,104.68,105.02,74.5709,9048942
2/6/2008,105.05,106.49,103.58,103.59,73.8368,8270491
2/7/2008,102.89,104,100.6,102.34,72.946,11255881
2/8/2008,102.19,103.67,102.07,103.27,73.6092,6085594
1501,,,,,,
